sku_id,part_id,qty_per_sku
SKU_SALAD_A,ING_LEAF,0.18
SKU_SALAD_A,ING_TOM,0.12
SKU_SALAD_A,PKG_TRAY,1.0
SKU_SALAD_A,PKG_FILM,1.0
SKU_SALAD_A,PKG_LABEL,1.0
SKU_SALAD_A,PKG_BOX,1.0
SKU_SALAD_B,ING_LEAF,0.18
SKU_SALAD_B,ING_BERR,0.1
SKU_SALAD_B,PKG_TRAY,1.0
SKU_SALAD_B,PKG_FILM,1.0
SKU_SALAD_B,PKG_LABEL,1.0
SKU_SALAD_B,PKG_BOX,1.0
SKU_BOWL_A,ING_LEAF,0.12
SKU_BOWL_A,ING_TOM,0.1
SKU_BOWL_A,ING_PROT,0.16
SKU_BOWL_A,PKG_TRAY,1.0
SKU_BOWL_A,PKG_FILM,1.0
SKU_BOWL_A,PKG_LABEL,1.0
SKU_BOWL_A,PKG_BOX,1.0
SKU_SMOOTH_A,ING_DAIRY,0.25
SKU_SMOOTH_A,ING_BERR,0.12
SKU_SMOOTH_A,PKG_TRAY,1.0
SKU_SMOOTH_A,PKG_LABEL,1.0
SKU_SMOOTH_A,PKG_BOX,1.0
